Año,Mes,Día,HR,CEL
2030,1,20,13,9202.835465
2030,1,20,14,9063.774225
2030,1,20,15,9044.232539
2030,1,20,16,9101.044726
2030,1,20,17,9135.951783
2030,1,20,18,9228.907956
2030,1,20,19,9892.376298
2030,1,20,20,10792.25919
2030,1,20,21,10740.00828
2030,1,20,22,10160.38103
2030,1,20,23,9183.656354
2030,1,20,24,8042.321664
2030,1,21,1,6995.284521
2030,1,21,2,6503.925353
2030,1,21,3,6297.549221
2030,1,21,4,6196.429914
2030,1,21,5,6306.34947
2030,1,21,6,6777.593996
2030,1,21,7,7889.976494
2030,1,21,8,8388.613995
2030,1,21,9,8558.720807
2030,1,21,10,8895.172915
2030,1,21,11,9076.424023
2030,1,21,12,9235.232855
2030,1,21,13,9147.548178
2030,1,21,14,9014.298563
2030,1,21,15,8987.457654
2030,1,21,16,9073.784545
2030,1,21,17,9125.440126
2030,1,21,18,9217.686072
2030,1,21,19,10027.85955
2030,1,21,20,10933.68836
2030,1,21,21,10855.74244
2030,1,21,22,10185.30015
2030,1,21,23,9258.956822
2030,1,21,24,8040.53416
2030,1,22,1,7099.783373
2030,1,22,2,6589.218237
2030,1,22,3,6333.758858
2030,1,22,4,6270.578502
2030,1,22,5,6406.794359
2030,1,22,6,6902.479047
2030,1,22,7,7946.206772
2030,1,22,8,8436.664727
2030,1,22,9,8711.519568
2030,1,22,10,8982.375652
2030,1,22,11,9250.087938
2030,1,22,12,9351.969694
2030,1,22,13,9331.905783
2030,1,22,14,9217.493595
2030,1,22,15,9215.128658
2030,1,22,16,9227.344263
2030,1,22,17,9268.999968
2030,1,22,18,9394.035719
2030,1,22,19,10050.90462
2030,1,22,20,11018.04422
2030,1,22,21,10985.2574
2030,1,22,22,10339.96251
2030,1,22,23,9377.442371
2030,1,22,24,8073.726825
2030,1,23,1,7171.453627
2030,1,23,2,6647.224082
2030,1,23,3,6385.850124
2030,1,23,4,6331.564018
2030,1,23,5,6452.67114
2030,1,23,6,6910.482529
2030,1,23,7,7925.413237
2030,1,23,8,8498.914029
2030,1,23,9,8715.078163
2030,1,23,10,9035.174162
2030,1,23,11,9241.527913
2030,1,23,12,9323.773983
2030,1,23,13,9280.01147
2030,1,23,14,9212.900993
2030,1,23,15,9185.612462
2030,1,23,16,9243.845103
2030,1,23,17,9294.47563
2030,1,23,18,9297.367268
2030,1,23,19,10023.17145
2030,1,23,20,10931.63228
