Ano,Tecnologia,Entidad Federativa,Region,Nodo,Estado,Capacidad Bruta (MW),Inversion
2020,Solar fotovoltaica,BCS,09-Baja California Sur,50-Villa Constitucion,Por iniciar obras,21.5,722.55924
2020,Solar fotovoltaica,BCS,09-Baja California Sur,51-La Paz,En construccion,4.89,291.9819
2020,Solar fotovoltaica,NAY,03-Occidental,22-Tepic,Por iniciar obras,10,597.1
2020,Solar fotovoltaica,BCS,09-Baja California Sur,50-Villa Constitucion,Por iniciar obras,30,1791.3
2020,Solar fotovoltaica,BCS,09-Baja California Sur,51-La Paz,En construccion,0.4100001,24.48110597
2021,Geotermica,PUE,02-Oriental,34-Puebla,Proyecto Nuevo,35.9400004,953.5078192
2021,Geotermica,NAY,03-Occidental,22-Tepic,Proyecto Nuevo,191.4400009,5079.007673
2021,Geotermica,PUE,02-Oriental,34-Puebla,Por Licitar,26.62,973.9674
2021,Hidroelectrica,GRO,02-Oriental,35-Acapulco,Condicionado,455,18855.2481
2021,Solar fotovoltaica,BCS,09-Baja California Sur,51-La Paz,Por iniciar obras,13,776.23
2021,Solar fotovoltaica,BCS,09-Baja California Sur,51-La Paz,En construccion,25.11,1499.3181
2021,Solar fotovoltaica,BCS,09-Baja California Sur,51-La Paz,En construccion,30,1791.3
2021,Solar fotovoltaica,BCS,09-Baja California Sur,51-La Paz,En construccion,30,1791.3
2021,Solar fotovoltaica,BCS,09-Baja California Sur,51-La Paz,En construccion,1.89,112.8519
2022,Geotermica,NAY,03-Occidental,22-Tepic,Proyecto Nuevo,11.00000111,291.836031
2022,Geotermica,JAL,03-Occidental,23-Guadalajara,Por iniciar obras,25,511.8
2022,Geotermica,NAY,03-Occidental,22-Tepic,En construccion,30,1228.32
2022,Hidroelectrica,CHIS,02-Oriental,39-Grijalva,Proyecto Nuevo,136,2629.016
2022,Hidroelectrica,CHIS,02-Oriental,39-Grijalva,Proyecto Nuevo,456.728987,8841.206733
2022,Hidroelectrica,CHIS,02-Oriental,39-Grijalva,Proyecto Nuevo,383.96,7432.569059
2022,Hidroelectrica,CHIH,05-Norte,09-Chihuahua,Proyecto Nuevo,352,6804.512
2022,Hidroelectrica,VER,02-Oriental,33-Veracruz,Proyecto Nuevo,121,2339.051
2022,Hidroelectrica,CHIS,02-Oriental,39-Grijalva,Proyecto Nuevo,422,8157.682
2022,Solar fotovoltaica,SON,04-Noroeste,02-Cananea,Por iniciar obras,20.4099999,1218.681094
2022,Solar fotovoltaica,BCS,09-Baja California Sur,52-Los Cabos,Por iniciar obras,30,1791.3
2022,Solar fotovoltaica,BCS,09-Baja California Sur,51-La Paz,En construccion,29.5899999,1791.3
2022,Solar fotovoltaica,BCS,09-Baja California Sur,52-Los Cabos,En construccion,20,1194.2
2023,Bioenerga,COAH,05-Norte,11-Laguna,Por iniciar obras,30,460.62
2023,Geotermica,JAL,03-Occidental,23-Guadalajara,Proyecto Nuevo,27,715.338
2023,Geotermica,NAY,03-Occidental,22-Tepic,Proyecto Nuevo,26.99999957,716.3247196
2023,Hidroelectrica,TAB,02-Oriental,38-Tabasco,Proyecto Nuevo,85.77,2122.557815
