Origen,Destino,Capacidad de transmision (MW),Costo de contruccion (miles de dolares/km),Distancia Aproximada (km),Precio (USD/MW-KM)
08-Moctezuma,09-Chihuahua,152.71,1053.724,206,6900.163709
16-Monterrey,17-Saltillo,249.68,420.828,57,1685.469401
02-Cananea,01-Hermosillo,174.67,268.981,152,1539.938169
02-Cananea,08-Moctezuma,149.56,661.3525,216,4421.987831
03-Obregon,04-Los Mochis,158.03,273.504,190,1730.709359
32-Poza Rica,31-Central,143.63,578.6645,239,4028.855392
32-Poza Rica,34-Puebla,192.39,328.7325,122,1708.677686
34-Puebla,31-Central,239.31,333.8195,68,1394.924993
30-Queretaro,25-San Luis Potos,186.43,405.9005,130,2177.227378
30-Queretaro,31-Central,216.68,427.1715,92,1971.43945
14-Reynosa,16-Monterrey,147.05,381.4095,224,2593.740224
14-Reynosa,13-Nuevo Laredo,242.13,396.703,65,1638.388469
12-Ro Escondido,09-Chihuahua,120.86,1053.724,354,8718.550389
12-Ro Escondido,16-Monterrey,166.61,627.36921,169,3765.495528
12-Ro Escondido,13-Nuevo Laredo,165.38,573.02075,172,3464.873322
26-Salamanca,31-Central,166.2,714.49875,170,4299.029783
26-Salamanca,30-Queretaro,246.85,600.401,60,2432.250354
17-Saltillo,24-Aguascalientes,107.54,416.66949,441,3874.553561
25-San Luis Potos,24-Aguascalientes,178.41,390.55362,145,2189.0792
38-Tabasco,41-Lerma,130.91,421.027,298,3216.156138
20-Tamazunchale,31-Central,130.91,666.233,289,5089.244519
20-Tamazunchale,30-Queretaro,155.54,405.9005,197,2609.621319
36-Temascal,35-Acapulco,148.31,385.996,220,2602.629627
36-Temascal,34-Puebla,146.74,225.254,225,1535.0552
22-Tepic,23-Guadalajara,177.88,594.2165,146,3340.546998
46-Tijuana,47-Ensenada,218.56,587.174,90,2686.557467
46-Tijuana,48-Mexicali,217.62,587.174,91,2698.161934
18-Valles,25-San Luis Potos,139.45,396.401,258,2842.603084
33-Veracruz,32-Poza Rica,185.36,428.769,132,2313.168968
33-Veracruz,34-Puebla,151.14,328.7325,211,2175.019849
33-Veracruz,36-Temascal,214.79,325.2905,94,1514.458308
