ID_old,ID,LAT,LON
1676,465,29.5,-101.3333
1705,466,30,-115.3333
1706,467,30,-114.6667
1709,468,30,-112.6667
1710,469,30,-112
1711,470,30,-111.3333
1712,471,30,-110.6667
1713,472,30,-110
1714,473,30,-109.3333
1715,474,30,-108.6667
1716,475,30,-108
1717,476,30,-107.3333
1718,477,30,-106.6667
1719,478,30,-106
1720,479,30,-105.3333
1754,480,30.5,-116
1755,481,30.5,-115.3333
1756,482,30.5,-114.6667
1759,483,30.5,-112.6667
1760,484,30.5,-112
1761,485,30.5,-111.3333
1762,486,30.5,-110.6667
1763,487,30.5,-110
1764,488,30.5,-109.3333
1765,489,30.5,-108.6667
1766,490,30.5,-108
1767,491,30.5,-107.3333
1768,492,30.5,-106.6667
1769,493,30.5,-106
1770,494,30.5,-105.3333
1804,495,31,-116
1805,496,31,-115.3333
1809,497,31,-112.6667
1810,498,31,-112
1811,499,31,-111.3333
1812,500,31,-110.6667
1813,501,31,-110
1814,502,31,-109.3333
1815,503,31,-108.6667
1816,504,31,-108
1817,505,31,-107.3333
1818,506,31,-106.6667
1819,507,31,-106
1854,508,31.5,-116
1855,509,31.5,-115.3333
1858,510,31.5,-113.3333
1859,511,31.5,-112.6667
1860,512,31.5,-112
1866,513,31.5,-108
1867,514,31.5,-107.3333
1868,515,31.5,-106.6667
1903,516,32,-116.6667
1904,517,32,-116
1905,518,32,-115.3333
1906,519,32,-114.6667
1907,520,32,-114
1908,521,32,-113.3333
1953,522,32.5,-116.6667
1954,523,32.5,-116
1955,524,32.5,-115.3333
