central/proyect,type,technology,fuel,fuel_code,load_area,balancing_area,intalation_year
salamanca_u3,operational,termoelectric,fuel_oil,c_n_sala,03-occidental,26-salamanca,
salamanca_u4,operational,termoelectric,fuel_oil,c_n_sala,03-occidental,26-salamanca,
primero_empresa_minera,operational,hydroelectric,,,04-noroeste,05-culiacan,
oviachic,operational,hydroelectric,,,04-noroeste,03-obregon,
proveedora_de_electricidad_de_occidente,operational,hydroelectric,,,03-occidental,23-guadalajara,
villa_de_reyes_u1,operational,termoelectric,fuel_oil,c_n_vrey,03-occidental,25-san_luis_potosi,
villa_de_reyes_u2,operational,termoelectric,fuel_oil,c_n_vrey,03-occidental,25-san_luis_potosi,
el_salto,operational,hydroelectric,,,06-noreste,18-valles,
botello,operational,hydroelectric,,,03-occidental,28-carapan,
minas,operational,hydroelectric,,,02-oriental,36-temascal,
sanalona,operational,hydroelectric,,,04-noroeste,05-culiacan,
platanal,operational,hydroelectric,,,03-occidental,28-carapan,
procesamiento_energetico_mexicano,operational,hydroelectric,,,02-oriental,36-temascal,
encanto,operational,hydroelectric,,,02-oriental,32-poza_rica,
cerveceria_cuauhtemoc-moctezuma_planta_orizaba,operational,hydroelectric,,,00-autoabasto,00-autoabasto_local,
dos_bocas_u1,operational,combined_cycle,natural_gas,g_2boca,02-oriental,33-veracruz,
dos_bocas_u2,operational,combined_cycle,natural_gas,g_2boca,02-oriental,33-veracruz,
dos_bocas_u3,operational,combined_cycle,natural_gas,g_2boca,02-oriental,33-veracruz,
dos_bocas_u4,operational,combined_cycle,natural_gas,g_2boca,02-oriental,33-veracruz,
dos_bocas_u5,operational,combined_cycle,natural_gas,g_2boca,02-oriental,33-veracruz,
dos_bocas_u6,operational,combined_cycle,natural_gas,g_2boca,02-oriental,33-veracruz,
mocuzari,operational,hydroelectric,,,04-noroeste,03-obregon,
hidroelectricidad_del_pacifico,operational,hydroelectric,,,03-occidental,27-manzanillo,
puente_grande,operational,hydroelectric,,,03-occidental,23-guadalajara,
la_mata__pie,operational,eolic,,,02-oriental,40-ixtepec,
la_venta_i-ii,operational,eolic,,,02-oriental,40-ixtepec,
la_venta_iii_pie,operational,eolic,,,02-oriental,40-ixtepec,
laguna_verde_central,operational,nuclear,uranium,nuc,02-oriental,33-veracruz,
los_humeros_central,operational,geotermic,,,02-oriental,34-puebla,
los_humeros_u3,operational,geotermic,,,02-oriental,34-puebla,
los_humeros_u6,operational,geotermic,,,02-oriental,34-puebla,
los_humeros_u8,operational,geotermic,,,02-oriental,34-puebla,
zumpimito,operational,hydroelectric,,,03-occidental,28-carapan,
hidroelectrica_arco_iris,operational,hydroelectric,,,03-occidental,23-guadalajara,
colotlipa,operational,hydroelectric,,,02-oriental,35-acapulco,
oaxaca_i_pie,operational,eolic,,,02-oriental,40-ixtepec,
oaxaca_ii_pie,operational,eolic,,,02-oriental,40-ixtepec,
oaxaca_iii_pie,operational,eolic,,,02-oriental,40-ixtepec,
oaxaca_iv_pie,operational,eolic,,,02-oriental,40-ixtepec,
alameda,operational,hydroelectric,,,01-central,31-central,
intermedia,operational,hydroelectric,,,03-occidental,23-guadalajara,
bombana,operational,hydroelectric,,,02-oriental,39-grijalva,
poza_rica_u1,operational,termoelectric,fuel_oil,c_n_poza,02-oriental,32-poza_rica,
poza_rica_u2,operational,termoelectric,fuel_oil,c_n_poza,02-oriental,32-poza_rica,
poza_rica_u3,operational,termoelectric,fuel_oil,c_n_poza,02-oriental,32-poza_rica,
san_lorenzo_potencia,operational,combined_cycle,natural_gas,g_slorp,02-oriental,34-puebla,
hidrorizaba_ii,operational,hydroelectric,,,02-oriental,33-veracruz,
gobierno_del_estado_de_michoacan_de_ocampo,operational,hydroelectric,,,03-occidental,28-carapan,
colina,operational,hydroelectric,,,05-norte,09-chihuahua,
san_pedro_poruas,operational,hydroelectric,,,03-occidental,28-carapan,
tuxpan_u1_tc,operational,termoelectric,fuel_oil,c_n_tuxp,02-oriental,32-poza_rica,
tuxpan_u2_tc,operational,termoelectric,fuel_oil,c_n_tuxp,02-oriental,32-poza_rica,
tuxpan_u3_tc,operational,termoelectric,fuel_oil,c_n_tuxp,02-oriental,32-poza_rica,
tuxpan_u4_tc,operational,termoelectric,fuel_oil,c_n_tuxp,02-oriental,32-poza_rica,
tuxpan_u5_tc,operational,termoelectric,fuel_oil,c_n_tuxp,02-oriental,32-poza_rica,
tuxpan_u6_tc,operational,termoelectric,fuel_oil,c_n_tuxp,02-oriental,32-poza_rica,
tuxpan_ii,operational,combined_cycle,natural_gas,g_tuxpoz,02-oriental,32-poza_rica,
tuxpan_iii_y_iv,operational,combined_cycle,natural_gas,g_tuxpoz,02-oriental,32-poza_rica,
tuxpan_v,operational,combined_cycle,natural_gas,gn_tuxp,02-oriental,32-poza_rica,
compania_electrica_carolina,operational,hydroelectric,,,00-autoabasto,00-autoabasto_local,
cancun_tg1,operational,turbogas,diesel,d_penins,07-peninsular,43-cancun,
cancun_tg2,operational,turbogas,diesel,d_penins,07-peninsular,43-cancun,
cancun_tg3,operational,turbogas,diesel,d_penins,07-peninsular,43-cancun,
cancun_tg5,operational,turbogas,diesel,d_penins,07-peninsular,43-cancun,
chankanaab_u1,operational,turbogas,diesel,d_penins,07-peninsular,45-cozumel,
chankanaab_u2,operational,turbogas,diesel,d_penins,07-peninsular,45-cozumel,
chankanaab_u4,operational,turbogas,diesel,d_penins,07-peninsular,45-cozumel,
ciudad_del_carmen_u1,operational,turbogas,diesel,d_penins,07-peninsular,41-lerma,
ciudad_del_carmen_u2,operational,turbogas,diesel,d_penins,07-peninsular,41-lerma,
