GENERATION_PROJECT	timepoint	gen_max_capacity_factor
cs_pp_10	4	0.0
cs_pp_10	5	0.131376572266
cs_pp_10	6	0.75025390625
cs_pp_10	7	0.0
cs_pp_10	8	0.0
cs_pp_113	1	0.0176263928223
cs_pp_113	2	0.429545976562
cs_pp_113	3	0.0
cs_pp_113	4	0.0
cs_pp_113	5	0.10826447265599999
cs_pp_113	6	0.710685390625
cs_pp_113	7	0.0
cs_pp_113	8	0.0
cs_pp_114	1	0.06948765625
cs_pp_114	2	0.612968476562
cs_pp_114	3	0.0
cs_pp_114	4	0.0
cs_pp_114	5	0.137112490234
cs_pp_114	6	0.7146553125
cs_pp_114	7	0.0
cs_pp_114	8	0.0
cs_pp_12	1	0.141802871094
cs_pp_12	2	0.625492226563
cs_pp_12	3	0.0
cs_pp_12	4	0.0
cs_pp_12	5	0.208148632813
cs_pp_12	6	0.710370703125
cs_pp_12	7	0.0
cs_pp_12	8	0.0
cs_pp_13	1	0.0176263928223
cs_pp_13	2	0.429545976562
cs_pp_13	3	0.0
cs_pp_13	4	0.0
cs_pp_13	5	0.10826447265599999
cs_pp_13	6	0.710685390625
cs_pp_13	7	0.0
cs_pp_13	8	0.0
cs_pp_14	1	0.0176263928223
cs_pp_14	2	0.429545976562
cs_pp_14	3	0.0
cs_pp_14	4	0.0
cs_pp_14	5	0.10826447265599999
cs_pp_14	6	0.710685390625
cs_pp_14	7	0.0
cs_pp_14	8	0.0
cs_pp_16	1	0.0176263928223
cs_pp_16	2	0.429545976562
cs_pp_16	3	0.0
cs_pp_16	4	0.0
cs_pp_16	5	0.10826447265599999
cs_pp_16	6	0.710685390625
cs_pp_16	7	0.0
cs_pp_16	8	0.0
cs_pp_17	1	0.07160354003910001
cs_pp_17	2	0.614414375
cs_pp_17	3	0.0
cs_pp_17	4	0.0
cs_pp_17	5	0.11300811523399999
cs_pp_17	6	0.695661015625
cs_pp_17	7	0.0
cs_pp_17	8	0.0
cs_pp_18	1	0.07160354003910001
cs_pp_18	2	0.614414375
cs_pp_18	3	0.0
cs_pp_18	4	0.0
cs_pp_18	5	0.11300811523399999
cs_pp_18	6	0.695661015625
cs_pp_18	7	0.0
cs_pp_18	8	0.0
cs_pp_21	1	0.0176263928223
cs_pp_21	2	0.429545976562
cs_pp_21	3	0.0
cs_pp_21	4	0.0
cs_pp_21	5	0.10826447265599999
cs_pp_21	6	0.710685390625
cs_pp_21	7	0.0
cs_pp_21	8	0.0
cs_pp_24	1	0.0176263928223
cs_pp_24	2	0.429545976562
cs_pp_24	3	0.0
cs_pp_24	4	0.0
cs_pp_24	5	0.10826447265599999
cs_pp_24	6	0.710685390625
cs_pp_24	7	0.0
cs_pp_24	8	0.0
cs_pp_25	1	0.08081977539060001
cs_pp_25	2	0.487204765625
cs_pp_25	3	0.0
cs_pp_25	4	0.0
cs_pp_25	5	0.165315019531
cs_pp_25	6	0.711817578125
cs_pp_25	7	0.0
cs_pp_25	8	0.0
cs_pp_26	1	0.08081977539060001
cs_pp_26	2	0.487204765625
cs_pp_26	3	0.0
cs_pp_26	4	0.0
cs_pp_26	5	0.165315019531
cs_pp_26	6	0.711817578125
cs_pp_26	7	0.0
cs_pp_26	8	0.0
cs_pp_28	1	0.08081977539060001
cs_pp_28	2	0.487204765625
cs_pp_28	3	0.0
cs_pp_28	4	0.0
cs_pp_28	5	0.165315019531
cs_pp_28	6	0.711817578125
cs_pp_28	7	0.0
cs_pp_28	8	0.0
cs_pp_40	1	0.0176263928223
cs_pp_40	2	0.429545976562
cs_pp_40	3	0.0
cs_pp_40	4	0.0
cs_pp_40	5	0.10826447265599999
cs_pp_40	6	0.710685390625
cs_pp_40	7	0.0
cs_pp_40	8	0.0
cs_pp_41	1	0.141802871094
cs_pp_41	2	0.625492226563
cs_pp_41	3	0.0
cs_pp_41	4	0.0
cs_pp_41	5	0.208148632813
cs_pp_41	6	0.710370703125
cs_pp_41	7	0.0
cs_pp_41	8	0.0
cs_pp_42	1	0.0176263928223
cs_pp_42	2	0.429545976562
cs_pp_42	3	0.0
cs_pp_42	4	0.0
cs_pp_42	5	0.10826447265599999
cs_pp_42	6	0.710685390625
cs_pp_42	7	0.0
cs_pp_42	8	0.0
