name_switch,name_prodesen,load_zone,load_area,capacity_factor
chilapan,chilapan,02-oriental,37-coatzacoalcos,92.554369658119668
chilapan,chilapan,02-oriental,37-coatzacoalcos,72.260128205128211
chilapan,chilapan,02-oriental,37-coatzacoalcos,33.191228632478634
chilapan,chilapan,02-oriental,37-coatzacoalcos,23.819700854700855
chilapan,chilapan,02-oriental,37-coatzacoalcos,32.574471153846154
chilapan,chilapan,02-oriental,37-coatzacoalcos,41.104866452991452
chilapan,chilapan,02-oriental,37-coatzacoalcos,29.401768162393161
chilapan,chilapan,02-oriental,37-coatzacoalcos,53.506912393162395
chilapan,chilapan,02-oriental,37-coatzacoalcos,55.040058760683763
chilapan,chilapan,02-oriental,37-coatzacoalcos,97.512088675213676
chilapan,chilapan,02-oriental,37-coatzacoalcos,57.171244658119655
chilapan,chilapan,02-oriental,37-coatzacoalcos,34.242654914529922
chilapan,chilapan,02-oriental,37-coatzacoalcos,86.364754273504275
chilapan,chilapan,02-oriental,37-coatzacoalcos,86.230405982905992
chilapan,chilapan,02-oriental,37-coatzacoalcos,59.260566239316248
chilapan,chilapan,02-oriental,37-coatzacoalcos,17.809861111111111
chilapan,chilapan,02-oriental,37-coatzacoalcos,4.5359027777777783
chilapan,chilapan,02-oriental,37-coatzacoalcos,36.233605769230763
chilapan,chilapan,02-oriental,37-coatzacoalcos,46.619497863247865
chilapan,chilapan,02-oriental,37-coatzacoalcos,39.176794871794868
chilapan,chilapan,02-oriental,37-coatzacoalcos,60.325379273504275
chilapan,chilapan,02-oriental,37-coatzacoalcos,93.665438034188014
chilapan,chilapan,02-oriental,37-coatzacoalcos,94.224134615384628
chilapan,chilapan,02-oriental,37-coatzacoalcos,74.41587072649574
colimilla,colimilla,03-occidental,23-guadalajara,7.8886040581597223
colimilla,colimilla,03-occidental,23-guadalajara,5.3636664496527784
colimilla,colimilla,03-occidental,23-guadalajara,5.5022026909722221
colimilla,colimilla,03-occidental,23-guadalajara,3.6356391059027784
colimilla,colimilla,03-occidental,23-guadalajara,2.7747287326388892
colimilla,colimilla,03-occidental,23-guadalajara,13.063237847222222
colimilla,colimilla,03-occidental,23-guadalajara,22.673654513888884
colimilla,colimilla,03-occidental,23-guadalajara,16.790418836805554
colimilla,colimilla,03-occidental,23-guadalajara,47.444495985243051
colimilla,colimilla,03-occidental,23-guadalajara,15.315426974826387
colimilla,colimilla,03-occidental,23-guadalajara,9.3349717881944443
colimilla,colimilla,03-occidental,23-guadalajara,8.4400390624999986
colimilla,colimilla,03-occidental,23-guadalajara,3.5724473741319449
colimilla,colimilla,03-occidental,23-guadalajara,12.256876627604168
colimilla,colimilla,03-occidental,23-guadalajara,6.4808485243055545
colimilla,colimilla,03-occidental,23-guadalajara,4.6691053602430559
colimilla,colimilla,03-occidental,23-guadalajara,3.8427652994791672
colimilla,colimilla,03-occidental,23-guadalajara,13.549590386284722
colimilla,colimilla,03-occidental,23-guadalajara,38.32286241319445
colimilla,colimilla,03-occidental,23-guadalajara,20.963180881076386
colimilla,colimilla,03-occidental,23-guadalajara,16.848212348090279
colimilla,colimilla,03-occidental,23-guadalajara,5.3687988281250005
colimilla,colimilla,03-occidental,23-guadalajara,3.931070963541667
colimilla,colimilla,03-occidental,23-guadalajara,3.8233181423611109
colimilla,colimilla,03-occidental,23-guadalajara,2.3737114800347223
colimilla,colimilla,03-occidental,23-guadalajara,5.1071234809027786
colimilla,colimilla,03-occidental,23-guadalajara,3.0166883680555552
colimilla,colimilla,03-occidental,23-guadalajara,3.2240858289930556
colimilla,colimilla,03-occidental,23-guadalajara,2.002663845486111
colimilla,colimilla,03-occidental,23-guadalajara,22.329079861111111
colimilla,colimilla,03-occidental,23-guadalajara,43.578238932291661
colimilla,colimilla,03-occidental,23-guadalajara,34.939716254340276
colimilla,colimilla,03-occidental,23-guadalajara,34.127685546875
colimilla,colimilla,03-occidental,23-guadalajara,18.94296332465278
colimilla,colimilla,03-occidental,23-guadalajara,5.3309922960069454
colimilla,colimilla,03-occidental,23-guadalajara,4.281049262152778
colina,colina,05-norte,09-chihuahua,30.614907407407404
colina,colina,05-norte,09-chihuahua,44.69078703703704
colina,colina,05-norte,09-chihuahua,51.830046296296295
colina,colina,05-norte,09-chihuahua,51.108101851851849
colina,colina,05-norte,09-chihuahua,29.765462962962964
colina,colina,05-norte,09-chihuahua,34.206342592592591
colina,colina,05-norte,09-chihuahua,16.501620370370372
colina,colina,05-norte,09-chihuahua,0.0
colina,colina,05-norte,09-chihuahua,0.0
colina,colina,05-norte,09-chihuahua,0.0
colina,colina,05-norte,09-chihuahua,0.0
colina,colina,05-norte,09-chihuahua,0.0
colina,colina,05-norte,09-chihuahua,3.0184259259259263
colina,colina,05-norte,09-chihuahua,58.871064814814808
colina,colina,05-norte,09-chihuahua,68.822916666666671
colina,colina,05-norte,09-chihuahua,70.301527777777778
colina,colina,05-norte,09-chihuahua,67.305046296296297
colina,colina,05-norte,09-chihuahua,69.764953703703696
colina,colina,05-norte,09-chihuahua,69.917777777777772
