,urban towns,status
Tomatlan,,
Tonayan,,
Totutla,,
Tuxpan,,
Tuxtilla,,
Ursulo Galvan,,
Vega de Alatorre,,
Veracruz,,
Villa Aldama,,
Xoxocotla,,
Yanga,,
Yecuatla,,
Zacualpan,,
Zaragoza,,
Zentla,,
Zongolica,,
Zontecomatlan de Lopez y Fuentes,,
Zozocolco de Hidalgo,,
Agua Dulce,,
El Higo,,
Nanchital de Lazaro Cardenas del Rio,,
Tres Valles,,
Carlos A. Carrillo,,
Tatahuicapan de Juarez,,
Uxpanapa,,
San Rafael,,
Santiago Sochiapan,,
Abala,,
Acanceh,,
Akil,,
Baca,,
Bokoba,,
Buctzotz,,
Cacalchen,,
Calotmul,,
Cansahcab,,
Cantamayec,,
Celestun,,
Cenotillo,,
Conkal,,
Cuncunul,,
Cuzama,,
Chacsinkin,,
Chankom,,
Chapab,,
Chemax,,
Chicxulub Pueblo,,
Chichimila,,
Chikindzonot,,
Chochola,,
Chumayel,,
Dzan,,
Dzemul,,
Dzidzantun,,
Dzilam de Bravo,,
Dzilam Gonzalez,,
Dzitas,,
Dzoncauich,,
Espita,,
Halacho,,
Hocaba,,
Hoctun,,
Homun,,
Huhi,,
Hunucma,,
Ixil,,
Izamal,,
Kanasin,,
Kantunil,,
Kaua,,
Kinchil,,
Kopoma,,
Mama,,
Mani,,
Maxcanu,,
Mayapan,,
Merida,,
Mococha,,
Motul,,
Muna,,
Muxupip,,
Opichen,,
Oxkutzcab,,
Panaba,,
Peto,,
Progreso,,
Quintana Roo,,
Rio Lagartos,,
Sacalum,,
Samahil,,
Sanahcat,,
San Felipe,,
Santa Elena,,
Seye,,
Sinanche,,
Sotuta,,
Sucila,,
Sudzal,,
Suma,,
Tahdziu,,
Tahmek,,
Teabo,,
Tecoh,,
Tekal de Venegas,,
Tekanto,,
Tekax,,
Tekit,,
Tekom,,
Telchac Pueblo,,
Telchac Puerto,,
Temax,,
Temozon,,
Tepakan,,
Tetiz,,
Teya,,
Ticul,,
Timucuy,,
Tinum,,
Tixcacalcupul,,
Tixkokob,,
Tixmehuac,,
Tixpehual,,
Tizimin,,
Tunkas,,
Tzucacab,,
Uayma,,
Ucu,,
Uman,,
Valladolid,,
Xocchel,,
Yaxcaba,,
Yaxkukul,,
Yobain,,
Apozol,,
Apulco,,
Atolinga,,
Benito Juarez,,
Calera,,
Cañitas de Felipe Pescador,,
Concepcion del Oro,,
Cuauhtemoc,,
Chalchihuites,,
Fresnillo,,
Trinidad Garcia de la Cadena,,
Genaro Codina,,
General Enrique Estrada,,
General Francisco R. Murguia,,
El Plateado de Joaquin Amaro,,
General Panfilo Natera,,
Guadalupe,,
Huanusco,,
Jalpa,,
Jerez,,
Jimenez del Teul,,
Juan Aldama,,
Juchipila,,
Loreto,,
Luis Moya,,
Mazapil,,
Melchor Ocampo,,
Mezquital del Oro,,
Miguel Auza,,
Momax,,
Monte Escobedo,,
Morelos,,
Moyahua de Estrada,,
Nochistlan de Mejia,,
Noria de angeles,,
Ojocaliente,,
Panuco,,
Pinos,,
Rio Grande,,
Sain Alto,,
El Salvador,,
Sombrerete,,
Susticacan,,
Tabasco,,
Tepechitlan,,
Tepetongo,,
Teul de Gonzalez Ortega,,
Tlaltenango de Sanchez Roman,,
Valparaiso,,
Vetagrande,,
Villa de Cos,,
Villa Garcia,,
Villa Gonzalez Ortega,,
Villa Hidalgo,,
Villanueva,,
Zacatecas,,
Trancoso,,
Santa Maria de la Paz,,
