Unnamed: 0,state,county,lat,lon,lz
296,durango,nombre_de_dios,23.8482422,-104.2441169,10
297,durango,ocampo,26.4424717,-105.5067963,9
298,durango,el_oro,25.9535409,-105.3647778,11
299,durango,otaez,24.7026618,-105.99496,5
300,durango,panuco_de_coronado,24.4005482,-104.3187882,10
301,durango,penon_blanco,24.7912135,-104.0333561,10
302,durango,poanas,23.9734949,-104.0461887,10
303,durango,pueblo_nuevo,23.7820021,-105.3615134,6
304,durango,rodeo,25.1809719,-104.5557836,11
305,durango,san_bernardo,26.0033309,-105.5233311,11
306,durango,san_dimas,24.1071642,-105.9267964,5
307,durango,san_juan_de_guadalupe,24.6320335,-102.7796184,17
308,durango,san_juan_del_rio,24.7823462,-104.4647042,10
309,durango,san_luis_del_cordero,25.4178912,-104.2768444,11
310,durango,san_pedro_del_gallo,25.5645583,-104.2919361,11
311,durango,santa_clara,24.4756229,-103.3568246,10
312,durango,santiago_papasquiaro,25.0448539,-105.4198236,10
313,durango,suchil,23.6203311,-103.9230997,10
314,durango,tamazula,24.9683887,-106.9677971,5
315,durango,tepehuanes,25.3379047,-105.72371,5
316,durango,tlahualilo,26.1050969,-103.4417126,11
317,durango,topia,25.2118864,-106.5690769,5
318,durango,vicente_guerrero,23.7321074,-103.9832684,10
319,durango,nuevo_ideal,24.8851705,-105.0761999,10
320,guanajuato,abasolo,20.452319,-101.5265017,26
321,guanajuato,acambaro,20.0319511,-100.7205812,30
322,guanajuato,san_miguel_de_allende,20.9144491,-100.745235,30
323,guanajuato,apaseo_el_alto,20.4602715,-100.6224706,30
324,guanajuato,apaseo_el_grande,20.5446948,-100.6844284,30
325,guanajuato,atarjea,21.2679767,-99.7187387,30
326,guanajuato,celaya,20.5279612,-100.8112885,30
327,guanajuato,manuel_doblado,20.7281302,-101.951295,26
328,guanajuato,comonfort,20.7197856,-100.7596892,30
329,guanajuato,coroneo,20.1990484,-100.3669879,30
330,guanajuato,cortazar,20.4771827,-100.9637456,30
331,guanajuato,cueramaro,20.6258385,-101.6717765,26
332,guanajuato,doctor_mora,21.1430821,-100.3185428,30
333,guanajuato,dolores_hidalgo_cuna_de_la_independencia_nacional,21.151597,-100.9367183,30
334,guanajuato,guanajuato,21.0190145,-101.2573586,30
335,guanajuato,huanimaro,20.3678927,-101.4978086,26
336,guanajuato,irapuato,20.6786652,-101.3544964,26
337,guanajuato,jaral_del_progreso,20.3735465,-101.0683472,26
338,guanajuato,jerecuaro,20.1494259,-100.5099262,30
339,guanajuato,leon,21.1250077,-101.6859605,24
340,guanajuato,moroleon,20.1264558,-101.1933423,26
341,guanajuato,ocampo,21.6481453,-101.4782799,24
342,guanajuato,penjamo,20.4313532,-101.724058,26
343,guanajuato,pueblo_nuevo,20.5244759,-101.3720989,26
344,guanajuato,purisima_del_rincon,20.8894632,-101.9119871,24
345,guanajuato,romita,20.8708929,-101.5168556,26
