load_area	fuel	year	fuel_cost
16-monterrey	diesel	2028	115.8817747
16-monterrey	diesel	2029	116.8131417
16-monterrey	diesel	2030	117.7435751
17-saltillo	natural_gas	2016	3.776280214
17-saltillo	natural_gas	2017	4.272728665
17-saltillo	natural_gas	2018	4.164941901
17-saltillo	natural_gas	2019	4.389884374
17-saltillo	natural_gas	2020	4.508177227
17-saltillo	natural_gas	2021	4.612538012
17-saltillo	natural_gas	2022	4.716898314
17-saltillo	natural_gas	2023	4.769078465
17-saltillo	natural_gas	2024	4.821259099
17-saltillo	natural_gas	2025	4.87343925
17-saltillo	natural_gas	2026	4.925619884
17-saltillo	natural_gas	2027	4.977800518
17-saltillo	natural_gas	2028	5.029980186
17-saltillo	natural_gas	2029	5.08216082
17-saltillo	natural_gas	2030	5.134340971
17-saltillo	diesel	2016	75.14576594
17-saltillo	diesel	2017	90.35904729
17-saltillo	diesel	2018	94.07090181
17-saltillo	diesel	2019	97.30933255
17-saltillo	diesel	2020	99.38284098
17-saltillo	diesel	2021	101.2292603
17-saltillo	diesel	2022	103.177233
17-saltillo	diesel	2023	105.483126
17-saltillo	diesel	2024	109.4306708
17-saltillo	diesel	2025	111.903307
17-saltillo	diesel	2026	113.3829141
17-saltillo	diesel	2027	114.7340394
17-saltillo	diesel	2028	115.8817747
17-saltillo	diesel	2029	116.8131417
17-saltillo	diesel	2030	117.7435751
19-huasteca	natural_gas	2016	3.799530214
19-huasteca	natural_gas	2017	4.295978665
19-huasteca	natural_gas	2018	4.188191901
19-huasteca	natural_gas	2019	4.413134374
19-huasteca	natural_gas	2020	4.531427227
19-huasteca	natural_gas	2021	4.635788012
19-huasteca	natural_gas	2022	4.740148314
19-huasteca	natural_gas	2023	4.792328465
19-huasteca	natural_gas	2024	4.844509099
19-huasteca	natural_gas	2025	4.89668925
19-huasteca	natural_gas	2026	4.948869884
19-huasteca	natural_gas	2027	5.001050518
19-huasteca	natural_gas	2028	5.053230186
19-huasteca	natural_gas	2029	5.10541082
19-huasteca	natural_gas	2030	5.157590971
19-huasteca	diesel	2016	75.14576594
19-huasteca	diesel	2017	90.35904729
19-huasteca	diesel	2018	94.07090181
19-huasteca	diesel	2019	97.30933255
19-huasteca	diesel	2020	99.38284098
19-huasteca	diesel	2021	101.2292603
19-huasteca	diesel	2022	103.177233
19-huasteca	diesel	2023	105.483126
19-huasteca	diesel	2024	109.4306708
19-huasteca	diesel	2025	111.903307
19-huasteca	diesel	2026	113.3829141
19-huasteca	diesel	2027	114.7340394
19-huasteca	diesel	2028	115.8817747
19-huasteca	diesel	2029	116.8131417
19-huasteca	diesel	2030	117.7435751
19-huasteca	fuel_oil	2016	34.37305835
19-huasteca	fuel_oil	2017	48.31474281
19-huasteca	fuel_oil	2018	51.5137815
19-huasteca	fuel_oil	2019	54.38499788
19-huasteca	fuel_oil	2020	56.10141709
19-huasteca	fuel_oil	2021	57.39437618
19-huasteca	fuel_oil	2022	58.60997854
19-huasteca	fuel_oil	2023	59.83629841
19-huasteca	fuel_oil	2024	60.91597614
19-huasteca	fuel_oil	2025	61.81927767
19-huasteca	fuel_oil	2026	63.14182669
19-huasteca	fuel_oil	2027	64.36701277
19-huasteca	fuel_oil	2028	65.6800652
19-huasteca	fuel_oil	2029	67.01495481
