PROJECT	build_year	gen_overnight_cost	gen_fixed_om	g_variable_o_m
italaise	2015.0	622320.0	7634.45	.
iusasol_base	2015.0	2353000.0	19000.0	.
kellogg_de_mexico	2015.0	3182481.0	44702.0	.
kimberly-clark_de_mexico	2015.0	1860700.0	37694.0	.
laboratorios_sophia	2015.0	3182481.0	44702.0	.
laminas_acanaladas_infinita	2015.0	622320.0	7634.45	.
lorean_energy_group	2015.0	2359223.0	35558.7	.
mabe_mexico_planta_sal	2015.0	3150526.0	28000.0	.
magnelec	2015.0	910280.0	16024.8	.
maquilas_teta_kawi	2015.0	3150526.0	28000.0	.
met-_mex_penoles	2015.0	1860700.0	37694.0	.
mexicana_de_cobre	2015.0	1728420.0	32104.6	.
mexichem_resinas_vinilicas	2015.0	910280.0	16024.8	.
mexico_carbon_manufacturing	2015.0	1860700.0	37694.0	.
mexico_gcoradora_de_energia	2015.0	910280.0	16024.8	.
minas_de_la_alta_pimeria	2015.0	3150526.0	28000.0	.
minera_real_de_angeles_unida	2015.0	3150526.0	28000.0	.
mission_hills	2015.0	622320.0	7634.45	.
municipio_de_mexicali	2015.0	2016000.0	24963.0	.
papelera_industrial_potosina	2015.0	910280.0	16024.8	.
parque_de_tecnologia_electronica	2015.0	3150526.0	28000.0	.
parques_ecologicos_de_mexico	2015.0	2016000.0	24963.0	.
pe_ingenio	2015.0	2016000.0	24963.0	.
pemex_gas_y_petroquimica_basica_complejo_pro	2015.0	1860700.0	37694.0	.
pemex-gas_y_petroquimica_basica_complejo_pro_1	2015.0	622320.0	7634.45	.
pemex-gas_y_petroquimica_basica_complejo_pro_2	2015.0	622320.0	7634.45	.
pemex-gas_y_petroquimica_basica_complejo_pro_3	2015.0	1009728.5	17427.4	.
pemex-gas_y_petroquimica_basica_complejo_pro_g_bur	2015.0	622320.0	7634.45	.
pemex-gas_y_petroquimicabasica_complejo_pro_cactus	2015.0	622320.0	7634.45	.
pemex-petroquimica_comp_petro_pajaritos	2015.0	622320.0	7634.45	.
pemex-petroquimica_complejo_petroquimico_cos	2015.0	622320.0	7634.45	.
pemex-petroquimica_complejo_petroquimico_ind	2015.0	1860700.0	37694.0	.
pemex-petroquimica_complejo_petroquimico_mor	2015.0	910280.0	16024.8	.
pemex-refinacion_ing_antonio_m_amor	2015.0	1860700.0	37694.0	.
pemex-refinacion_refineria_francisco_i_made	2015.0	1860700.0	37694.0	.
pemex-refinacion_refineria_gcoral_lazaro_ca	2015.0	1860700.0	37694.0	.
pemex-refinacion_refineria_gcoral_lazaro_ca_proy	2015.0	1860700.0	37694.0	.
pemex-refinacion_refineria_ing_antonio_dova	2015.0	1860700.0	37694.0	.
pemex-refinacion_refineria_ing_hector_lara	2015.0	1860700.0	37694.0	.
pemex-refinacion_refineria_miguel_hidalgo	2015.0	1728420.0	32104.6	.
piasa_cogcoracion	2015.0	2341500.0	44300.0	.
pier_ii_quecholac_felipe_angeles	2015.0	2016000.0	24963.0	.
plamex	2015.0	2353000.0	19000.0	.
polimeros_y_derivados_planta	2015.0	3150526.0	28000.0	.
polioles	2015.0	1860700.0	37694.0	.
posco_mexico	2015.0	3182481.0	44702.0	.
hidroelectrica_cajon_de_pena	2015.0	1910425.0	24967.8	.
tirio	2015.0	1910425.0	24967.8	.
procter_&_gamble_manufactura	2015.0	910280.0	16024.8	.
procter_&_gamble_manufactura_talisman	2015.0	622320.0	7634.45	.
productora_de_papel	2015.0	910280.0	16024.8	.
productora_nacional_de_papel	2015.0	3167700.0	53203.8	.
productos_farmaceuticos_plan	2015.0	3150526.0	28000.0	.
proteinas_naturales	2015.0	622320.0	7634.45	.
bartolinas	2015.0	1910425.0	24967.8	.
sabritas	2015.0	3150526.0	28000.0	.
sales_del_istmo_coatzacoalcos	2015.0	3150526.0	28000.0	.
santa_rosalia_de_la_chontalpa	2015.0	2341500.0	44300.0	.
