GENERATIONS_PROJECT	gen_tech	gen_load_zone	gen_connect_cost_per_mw	gen_full_load_heat_rate	proj_variable_o_m	gen_capacity_limit_mw	gen_energy_source	gen_variable_om	gen_min_build_capacity	gen_scheduled_outage_rate	gen_forced_outage_rate	gen_max_age	gen_unit_size	proj_ccs_capture_efficiency	proj_ccs_energy_load	gen_storage_efficiency	proj_store_to_release_ratio	gen_is_variable	gen_is_baseload	gen_is_cogen
ccc_gen_02	combined_cycle_natural_gas	16-monterrey	99048.565	5.839630806	3.05	.	natural_gas	3.05	0	0.0696	0.0696	30	.	.	.	.	.	0	1	0
ccc_gen_03	combined_cycle_natural_gas	20-tamazunchale	99048.565	5.839630806	3.05	.	natural_gas	3.05	0	0.0696	0.0696	30	.	.	.	.	.	0	1	0
ccc_otr_01	combined_cycle_natural_gas	48-mexicali	99048.565	6.468514123	3.05	.	natural_gas	3.05	0	0.0696	0.0696	30	.	.	.	.	.	0	1	0
ccc_otr_02	combined_cycle_natural_gas	03-obregon	99048.565	6.468514123	3.05	.	natural_gas	3.05	0	0.0696	0.0696	30	.	.	.	.	.	0	1	0
ccc_otr_03	combined_cycle_natural_gas	20-tamazunchale	99048.565	5.92947128	3.05	.	natural_gas	3.05	0	0.0696	0.0696	30	.	.	.	.	.	0	1	0
ccc_pp_01	combined_cycle_natural_gas	01-hermosillo	99048.565	6.468514123	3.05	.	natural_gas	3.05	0	0.0696	0.0696	30	.	.	.	.	.	0	1	0
cce_cog_01	cogen_natural_gas	30-queretaro	99048.565	9.253568815	3.08	.	natural_gas	3.08	0	0.1123	0.1123	30	.	.	.	.	.	0	1	1
cce_cog_02	cogen_natural_gas	37-coatzacoalcos	99048.565	6.468514123	3.08	.	natural_gas	3.08	0	0.1123	0.1123	30	.	.	.	.	.	0	1	1
cce_cog_03	cogen_natural_gas	37-coatzacoalcos	99048.565	6.468514123	3.08	.	natural_gas	3.08	0	0.1123	0.1123	30	.	.	.	.	.	0	1	1
cce_cog_04	cogen_natural_gas	17-saltillo	99048.565	6.468514123	3.08	.	natural_gas	3.08	0	0.1123	0.1123	30	.	.	.	.	.	0	1	1
cce_cog_05	cogen_natural_gas	17-saltillo	99048.565	9.253568815	3.08	.	natural_gas	3.08	0	0.1123	0.1123	30	.	.	.	.	.	0	1	1
cce_cog_06	cogen_natural_gas	31-central	99048.565	8.624685497	3.08	.	natural_gas	3.08	0	0.1123	0.1123	30	.	.	.	.	.	0	1	1
cce_cog_08	cogen_natural_gas	37-coatzacoalcos	99048.565	8.624685497	3.08	.	natural_gas	3.08	0	0.1123	0.1123	30	.	.	.	.	.	0	1	1
cce_cog_09	cogen_natural_gas	02-cananea	99048.565	6.468514123	3.08	.	natural_gas	3.08	0	0.1123	0.1123	30	.	.	.	.	.	0	1	1
cce_cog_10	cogen_natural_gas	38-tabasco	99048.565	6.198992701	3.08	.	natural_gas	3.08	0	0.1123	0.1123	30	.	.	.	.	.	0	1	1
cce_cog_12	cogen_natural_gas	16-monterrey	99048.565	6.019311753	3.08	.	natural_gas	3.08	0	0.1123	0.1123	30	.	.	.	.	.	0	1	1
cce_cog_13	cogen_natural_gas	36-temascal	99048.565	6.198992701	3.08	.	natural_gas	3.08	0	0.1123	0.1123	30	.	.	.	.	.	0	1	1
cce_cog_14	cogen_natural_gas	31-central	99048.565	6.198992701	3.08	.	natural_gas	3.08	0	0.1123	0.1123	30	.	.	.	.	.	0	1	1
cce_gen_01	cogen_natural_gas	38-tabasco	99048.565	6.198992701	3.08	.	natural_gas	3.08	0	0.1123	0.1123	30	.	.	.	.	.	0	1	1
cci_aut_04	internal_combustion_diesel	12-rio_escondido	99048.565	7.187237915	6.63	.	diesel	6.63	0	0.1123	0.1123	20	.	.	.	.	.	0	1	0
cci_cfe_01	internal_combustion_fuel_oil	51-la_paz	99048.565	7.187237915	6.63	.	fuel_oil	6.63	0	0.1123	0.1123	20	.	.	.	.	.	0	1	0
cci_cfe_02	internal_combustion_fuel_oil	53-mulege	99048.565	8.175483128	6.63	.	fuel_oil	6.63	0	0.1123	0.1123	20	.	.	.	.	.	0	1	0
