,month,day,hour,central,oriental,occidental,norte,noreste,peninsular,noroeste,baja_california,baja_california_sur,sin,sen
2893,4,30,15,6795.652,5441.373,7998.796,2982.836,5850.373,1318.353,2277.268,1315.573,261.328487,32664.650999999998,34241.55248699999
2894,4,30,16,6801.319,5398.47,7787.717,3014.909,5878.114,1325.195,2315.591,1346.445,258.777965,32521.315000000002,34126.537965
2895,4,30,17,6791.587,5416.41,7908.671,3006.934,5757.673,1324.547,2364.677,1365.565,260.746394,32570.498999999996,34196.810394
2896,4,30,18,6858.531,5403.125,7902.253,2991.705,5646.692,1292.195,2373.79,1375.24,257.780538,32468.291,34101.311538
2897,4,30,19,6976.997,5399.575,7658.804,2948.802,5538.374,1238.133,2331.977,1380.548,254.341251,32092.662,33727.551251
2898,4,30,20,6979.839,5411.754,7423.641,2908.587,5404.442,1275.49,2245.563,1348.334,251.967358,31649.316,33249.617358
2899,4,30,21,7453.939,6086.862,7454.738,2852.386,5440.088,1300.386,2167.623,1310.013,274.23794,32756.021999999997,34340.272939999995
2900,4,30,22,7517.918,6212.814,7611.348,2948.355,5505.495,1282.024,2278.653,1331.732,274.14917,33356.607,34962.488170000004
2901,4,30,23,7097.995,6014.412,7619.304,2983.338,5478.147,1305.914,2309.025,1412.201,260.096419,32808.135,34480.432419000004
2902,4,30,24,6351.028,5828.292,6946.484,2897.571,5603.751,1275.716,2314.53,1395.228,238.166819,31217.372,32850.766819
2903,5,1,1,5640.587000133245,5388.8171031197235,6703.441997713248,2787.3519298519473,5492.466380888263,1219.62,2262.597114558538,1324.7185811992133,220.64583621399797,29494.881526264966,31040.245943678176
2904,5,1,2,5129.386000133245,5171.735103119723,6633.401997713248,2662.3901718519473,5314.270380888263,1155.683,2170.172114558538,1237.9735811992134,210.71672221399797,28237.038768264967,29685.72907167818
2905,5,1,3,4882.044000133245,4975.742103119724,6441.634997713249,2583.341774851948,5241.295380888264,1103.831,2084.8021145585376,1139.6945811992134,204.16458821399794,27312.691371264966,28656.550540678174
2906,5,1,4,4747.243000133245,4864.513103119723,6317.395997713248,2540.7007388519473,5093.0743808882635,1058.063,2010.4231145585377,1060.1865811992134,200.97017621399797,26631.413335264966,27892.57009267818
2907,5,1,5,4715.641000133245,4794.982103119723,6258.587997713248,2515.269530851948,5061.969380888264,1023.042,1930.6341145585377,1037.6995811992135,200.17357921399795,26300.12612726497,27537.999287678183
2908,5,1,6,4663.379000133245,4755.340103119724,6260.549997713249,2505.3315668519476,5019.390380888263,1000.193,1880.0181145585377,1021.9445811992135,201.81228121399795,26084.202163264967,27307.959025678178
2909,5,1,7,4753.448000133245,4745.244103119723,6298.588997713248,2499.4597308519474,5007.8153808882635,939.149,1848.3451145585377,1022.8865811992135,204.07100321399795,26092.050327264966,27319.007911678178
2910,5,1,8,4766.539000133245,4479.1431031197235,6173.039997713248,2500.391796851947,4947.120380888264,950.798,1792.8761145585377,1028.6225811992135,203.65003721399796,25609.908393264963,26842.181011678174
2911,5,1,9,5004.952000133245,4537.118103119724,6630.885997713248,2567.8040338519477,5096.414380888264,1023.799,1792.1222365585377,1029.5665811992135,212.02769021399797,26653.095752264966,27894.69002367818
2912,5,1,10,5347.629000133245,4580.475103119724,6909.365997713248,2662.2950038519475,5131.886380888263,1090.419,1791.7731145585378,1106.3585811992134,225.90976121399797,27513.84360026497,28846.11194267818
2913,5,1,11,5605.622000133245,4680.534103119723,7126.856997713248,2744.871613851947,5291.848380888264,1143.399,1877.0091145585377,1153.4145811992134,237.96158921399797,28470.141210264967,29861.51738067818
2914,5,1,12,5792.179000133246,4776.078103119724,7187.706997713248,2819.3527318519473,5395.335380888264,1173.255,1935.9211145585377,1230.5015811992134,245.88253521399795,29079.82832826497,30556.21244467818
